resource,keyword
https://vivo.invid.udl.cat/individual/UDL-07003074,diabetes
https://vivo.invid.udl.cat/individual/UDL-07000626,diabetes
https://vivo.invid.udl.cat/individual/UDL-00000532,Accessibility
https://vivo.invid.udl.cat/individual/UDL-06000540,individual differences
https://vivo.invid.udl.cat/individual/UDL-00005029,stem cells
https://vivo.invid.udl.cat/individual/UDL-05000519,stem cells
https://vivo.invid.udl.cat/individual/UDL-00000994,Élites Municipales
https://vivo.invid.udl.cat/individual/UDL-00000875,Relaciones Internacionales
https://vivo.invid.udl.cat/individual/UDL-00000463,Relaciones Internacionales
https://vivo.invid.udl.cat/individual/UDL-00000590,Human Genetics
https://vivo.invid.udl.cat/individual/UDL-07001822,Art History
https://vivo.invid.udl.cat/individual/UDL-07004203,sexuality
https://vivo.invid.udl.cat/individual/UDL-07000685,local history
https://vivo.invid.udl.cat/individual/UDL-07005159,banking & finance
https://vivo.invid.udl.cat/individual/UDL-07006324,Movement-Based Interaction
https://vivo.invid.udl.cat/individual/UDL-07001511,veterinary sciences
https://vivo.invid.udl.cat/individual/UDL-07005045,usability
https://vivo.invid.udl.cat/individual/UDL-00000532,usability
https://vivo.invid.udl.cat/individual/UDL-05000369,semantic web
https://vivo.invid.udl.cat/individual/UDL-06000001,semantic web
https://vivo.invid.udl.cat/individual/UDL-00000389,semantic web
https://vivo.invid.udl.cat/individual/UDL-00001024,modality
https://vivo.invid.udl.cat/individual/UDL-07003358,Big Data
https://vivo.invid.udl.cat/individual/UDL-07006774,Labelings
https://vivo.invid.udl.cat/individual/UDL-00001644,NWFP
https://vivo.invid.udl.cat/individual/UDL-07000917,Ecotoxicity
https://vivo.invid.udl.cat/individual/UDL-00000010,Literatura
https://vivo.invid.udl.cat/individual/UDL-00000110,yeast
https://vivo.invid.udl.cat/individual/UDL-07001066,Bioactives
https://vivo.invid.udl.cat/individual/UDL-00000532,Usability
https://vivo.invid.udl.cat/individual/UDL-00000737,water use efficiency
https://vivo.invid.udl.cat/individual/UDL-07002745,fitness evaluation
https://vivo.invid.udl.cat/individual/UDL-00000994,Èlits municipals
https://vivo.invid.udl.cat/individual/UDL-00000180,Historiography
https://vivo.invid.udl.cat/individual/UDL-06000001,blockchain
https://vivo.invid.udl.cat/individual/UDL-07003290,Pathology
https://vivo.invid.udl.cat/individual/UDL-00000607,personality assessment
https://vivo.invid.udl.cat/individual/UDL-00001024,lexicography
https://vivo.invid.udl.cat/individual/UDL-07003954,drylands
https://vivo.invid.udl.cat/individual/UDL-00000110,cardiomyocytes
https://vivo.invid.udl.cat/individual/UDL-06001234,research & experimental medicine
https://vivo.invid.udl.cat/individual/UDL-07001057,research & experimental medicine
https://vivo.invid.udl.cat/individual/UDL-00000654,research & experimental medicine
https://vivo.invid.udl.cat/individual/UDL-00000590,genetics of personality
https://vivo.invid.udl.cat/individual/UDL-05000343,ramaderia
https://vivo.invid.udl.cat/individual/UDL-00000624,Parallel and Distributed  computing
https://vivo.invid.udl.cat/individual/UDL-00000417,philology
https://vivo.invid.udl.cat/individual/UDL-00000538,personal docente e investigador
https://vivo.invid.udl.cat/individual/UDL-07002681,Study Abroad
https://vivo.invid.udl.cat/individual/UDL-07003397,Study Abroad
https://vivo.invid.udl.cat/individual/UDL-07000240,theory of literature
https://vivo.invid.udl.cat/individual/UDL-07002745,exercise physiology
https://vivo.invid.udl.cat/individual/UDL-00000875,Derecho Internacional Público
https://vivo.invid.udl.cat/individual/UDL-00000463,Derecho Internacional Público
https://vivo.invid.udl.cat/individual/UDL-07001877,Research Methodology
https://vivo.invid.udl.cat/individual/UDL-00000558,Semántica
https://vivo.invid.udl.cat/individual/UDL-00000875,Dret Internacional Públic
https://vivo.invid.udl.cat/individual/UDL-00000463,Dret Internacional Públic
https://vivo.invid.udl.cat/individual/UDL-00000281,internet
https://vivo.invid.udl.cat/individual/UDL-06000148,government & law
https://vivo.invid.udl.cat/individual/UDL-07005653,government & law
https://vivo.invid.udl.cat/individual/UDL-07003056,Stressful life events
https://vivo.invid.udl.cat/individual/UDL-07004707,Tourism
https://vivo.invid.udl.cat/individual/UDL-00000174,Disfunciones municipales
https://vivo.invid.udl.cat/individual/UDL-00000983,ewom
