uri,labels
http://dbpedia.org/resource/Software_development,"[{'keyword': 'software development project', 'language': 'en'}, {'keyword': 'software development', 'language': 'en'}, {'keyword': 'desenvolupament de programari', 'language': 'ca'}, {'keyword': 'proceso para el desarrollo de software', 'language': 'es'}]"
http://dbpedia.org/resource/Ontology,"[{'keyword': 'ontologies', 'language': 'en'}, {'keyword': 'ontology', 'language': 'en'}, {'keyword': 'ontologia', 'language': 'ca'}, {'keyword': 'ontología', 'language': 'es'}]"
http://www.wikidata.org/entity/Q1047808,"[{'keyword': 'user experience', 'language': 'en'}, {'keyword': ""experiència d'usuari"", 'language': 'ca'}, {'keyword': 'experiencia de usuario', 'language': 'es'}]"
http://www.wikidata.org/entity/Q52948,"[{'keyword': 'interaction', 'language': 'en'}, {'keyword': 'la interacción', 'language': 'es'}]"
http://dbpedia.org/resource/Decentralized_application,"[{'keyword': 'decentralized applications', 'language': 'en'}, {'keyword': 'decentralized application', 'language': 'en'}]"
http://www.wikidata.org/entity/Q207434,"[{'keyword': 'interacción persona ordenador', 'language': 'es'}, {'keyword': 'interacció persona-ordinador', 'language': 'ca'}, {'keyword': 'human–computer interaction', 'language': 'en'}, {'keyword': 'interacción persona-computadora', 'language': 'es'}]"
http://dbpedia.org/resource/Digital_terrestrial_television,"[{'keyword': 'digital rights management', 'language': 'en'}, {'keyword': 'televisió digital terrestre', 'language': 'ca'}, {'keyword': 'digital terrestrial television', 'language': 'en'}, {'keyword': 'televisión digital terrestre', 'language': 'es'}]"
http://dbpedia.org/resource/Ontology_engineering,"[{'keyword': 'ontology engineering', 'language': 'en'}, {'keyword': 'ingeniería ontológica', 'language': 'es'}]"
http://www.wikidata.org/entity/Q813912,"[{'keyword': 'context', 'language': 'en'}, {'keyword': 'circunstancia', 'language': 'es'}]"
http://dbpedia.org/resource/Blockchain,"[{'keyword': 'blockchain', 'language': 'en'}, {'keyword': 'blockchain', 'language': 'ca'}, {'keyword': 'cadena de bloques', 'language': 'es'}]"
http://www.wikidata.org/entity/Q6502154,"[{'keyword': 'exploration', 'language': 'en'}, {'keyword': 'exploració', 'language': 'ca'}, {'keyword': 'exploración geográfica', 'language': 'es'}, {'keyword': 'exploración', 'language': 'es'}, {'keyword': 'in the footsteps of explorers', 'language': 'en'}]"
http://www.wikidata.org/entity/Q845921,"[{'keyword': 'arquitectura de la informació', 'language': 'ca'}, {'keyword': 'information architecture', 'language': 'en'}, {'keyword': 'arquitectura de la información', 'language': 'es'}]"
http://dbpedia.org/resource/Knowledge_sharing,"[{'keyword': 'knowledge sharing', 'language': 'en'}, {'keyword': 'intercambio de conocimiento', 'language': 'es'}]"
http://dbpedia.org/resource/Upper_ontology,"[{'keyword': 'upper ontologies', 'language': 'en'}, {'keyword': 'upper ontology', 'language': 'en'}]"
http://www.wikidata.org/entity/Q1972518,"[{'keyword': 'navegación', 'language': 'en'}, {'keyword': 'navegacion y servicios aéreos canarios', 'language': 'en'}, {'keyword': 'naysa', 'language': 'es'}]"
http://www.wikidata.org/entity/Q54837,"[{'keyword': 'web semàntica', 'language': 'ca'}, {'keyword': 'semantic web', 'language': 'en'}, {'keyword': 'web semàntic', 'language': 'ca'}, {'keyword': 'web semántica', 'language': 'es'}]"
http://dbpedia.org/resource/Affective_computing,"[{'keyword': 'affective computing', 'language': 'en'}, {'keyword': 'computació afectiva', 'language': 'ca'}, {'keyword': 'computación afectiva', 'language': 'es'}]"
http://dbpedia.org/resource/Quality_management_system,"[{'keyword': 'quality management system', 'language': 'en'}, {'keyword': 'sistema de gestión de la calidad', 'language': 'es'}]"
http://www.wikidata.org/entity/Q47146,"[{'keyword': 'interfaces de usuario', 'language': 'en'}, {'keyword': ""interfície d'usuari"", 'language': 'ca'}, {'keyword': 'user interface', 'language': 'en'}, {'keyword': 'interfaz de usuario', 'language': 'es'}]"
http://dbpedia.org/resource/Semantic_MediaWiki,"[{'keyword': 'semantic mediawiki', 'language': 'en'}, {'keyword': 'semantic mediawiki', 'language': 'ca'}, {'keyword': 'semantic mediawiki', 'language': 'es'}]"
http://www.wikidata.org/entity/Q1067402,"[{'keyword': 'gamificación', 'language': 'es'}, {'keyword': 'gamification', 'language': 'en'}, {'keyword': 'ludificació', 'language': 'ca'}, {'keyword': 'ludificación', 'language': 'es'}]"
http://dbpedia.org/resource/Web_application,"[{'keyword': 'semantic web applications', 'language': 'en'}, {'keyword': 'aplicació web', 'language': 'ca'}, {'keyword': 'web application', 'language': 'en'}, {'keyword': 'aplicación web', 'language': 'es'}]"
http://dbpedia.org/resource/Knowledge_engineering,"[{'keyword': 'knowledge engineering', 'language': 'en'}, {'keyword': 'enginyeria del coneixement', 'language': 'ca'}, {'keyword': 'ingeniería del conocimiento', 'language': 'es'}]"
http://dbpedia.org/resource/Usability,"[{'keyword': 'usability', 'language': 'en'}, {'keyword': 'usabilitat', 'language': 'ca'}, {'keyword': 'usabilidad', 'language': 'es'}]"
http://dbpedia.org/resource/Massive_open_online_course,"[{'keyword': 'moocs', 'language': 'en'}, {'keyword': 'massive open online course', 'language': 'en'}, {'keyword': 'massive open online course', 'language': 'es'}]"
http://dbpedia.org/resource/Thermal_energy_storage,"[{'keyword': 'thermal energy storage', 'language': 'en'}, {'keyword': ""emmagatzematge d'energia tèrmica"", 'language': 'ca'}, {'keyword': 'almacenamiento de calor', 'language': 'es'}]"
http://dbpedia.org/resource/Phase-change_material,"[{'keyword': 'phase change material', 'language': 'en'}, {'keyword': 'phase-change material', 'language': 'en'}]"
http://dbpedia.org/resource/Heat_transfer,"[{'keyword': 'heat transfer', 'language': 'en'}, {'keyword': 'transmissió tèrmica', 'language': 'ca'}, {'keyword': 'transferencia de calor', 'language': 'es'}]"
http://www.wikidata.org/entity/Q34442,"[{'keyword': 'road', 'language': 'en'}, {'keyword': 'carretera', 'language': 'ca'}, {'keyword': 'carretera', 'language': 'es'}]"
