resource,keyword
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Quality_management_system
https://vivo.invid.udl.cat/individual/UDL-06000001,patrones de interacción
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q67011165
https://vivo.invid.udl.cat/individual/UDL-06000001,design of affective interaction systems
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Ontology
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q47146
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_Web
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q845921
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_MediaWiki
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1067402
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Web_application
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Knowledge_engineering
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Usability
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Massive_open_online_course
https://vivo.invid.udl.cat/individual/UDL-07003304,http://dbpedia.org/resource/Thermal_energy_storage
https://vivo.invid.udl.cat/individual/UDL-07003304,http://dbpedia.org/resource/Phase-change_material
https://vivo.invid.udl.cat/individual/UDL-07003304,http://dbpedia.org/resource/Heat_transfer
https://vivo.invid.udl.cat/individual/UDL-07003304,http://www.wikidata.org/entity/Q34442
https://vivo.invid.udl.cat/individual/UDL-07003304,http://www.wikidata.org/entity/Q99603787
https://vivo.invid.udl.cat/individual/UDL-07003304,http://dbpedia.org/resource/Asphalt
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Microbiota
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Polyphenol
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Phenol
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Mass_spectrometry
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Wine
https://vivo.invid.udl.cat/individual/UDL-00000467,http://www.wikidata.org/entity/Q282
https://vivo.invid.udl.cat/individual/UDL-07004996,http://www.wikidata.org/entity/Q191089
https://vivo.invid.udl.cat/individual/UDL-07004996,http://www.wikidata.org/entity/Q185836
https://vivo.invid.udl.cat/individual/UDL-07005349,http://dbpedia.org/resource/Compositional_data
https://vivo.invid.udl.cat/individual/UDL-07005349,http://dbpedia.org/resource/Syllable
https://vivo.invid.udl.cat/individual/UDL-07005349,http://dbpedia.org/resource/Informatica
https://vivo.invid.udl.cat/individual/UDL-07005349,http://www.wikidata.org/entity/Q66458784
https://vivo.invid.udl.cat/individual/UDL-07005349,http://www.wikidata.org/entity/Q179310
https://vivo.invid.udl.cat/individual/UDL-07005349,http://www.wikidata.org/entity/Q131303
